receipt_id,store_id,vendor_id,purchase_order_id,receipt_timestamp,sku_id,quantity_ordered,quantity_received,quantity_damaged_on_arrival,received_by_employee_id
48,1,8,PO-00000048,2025-01-09 00:00:00,140,24,24,0,10001
49,1,2,PO-00000049,2025-01-09 00:00:00,194,48,48,0,10001
50,1,8,PO-00000050,2025-01-09 00:00:00,44,12,12,0,10001
51,1,1,PO-00000051,2025-01-09 00:00:00,157,24,24,0,10001
52,1,3,PO-00000052,2025-01-09 00:00:00,147,24,24,0,10001
53,1,8,PO-00000053,2025-01-09 00:00:00,80,48,48,0,10001
54,1,2,PO-00000054,2025-01-09 00:00:00,14,12,12,0,10001
55,1,6,PO-00000055,2024-11-15 00:00:00,126,24,24,0,10001
56,1,12,PO-00000056,2024-11-15 00:00:00,12,12,12,0,10001
57,1,6,PO-00000057,2024-11-15 00:00:00,54,12,12,0,10001
58,1,4,PO-00000058,2024-11-15 00:00:00,184,48,48,0,10001
59,1,12,PO-00000059,2024-11-15 00:00:00,48,12,12,0,10001
60,1,11,PO-00000060,2024-11-15 00:00:00,155,24,24,0,10001
61,1,9,PO-00000061,2024-11-15 00:00:00,141,12,12,0,10001
62,1,1,PO-00000062,2024-11-15 00:00:00,73,24,24,0,10001
63,1,8,PO-00000063,2024-11-15 00:00:00,44,12,12,0,10001
64,1,8,PO-00000064,2024-11-15 00:00:00,68,24,24,0,10001
65,1,3,PO-00000065,2024-11-15 00:00:00,39,24,24,0,10001
66,1,1,PO-00000066,2024-11-15 00:00:00,145,12,7,0,10001
67,1,1,PO-00000067,2024-11-15 00:00:00,169,24,24,2,10001
68,1,9,PO-00000068,2024-11-15 00:00:00,165,48,48,0,10001
69,1,3,PO-00000069,2024-11-15 00:00:00,99,24,24,0,10001
70,1,9,PO-00000070,2024-11-15 00:00:00,93,12,12,0,10001
71,1,11,PO-00000071,2024-11-15 00:00:00,179,12,12,0,10001
72,1,11,PO-00000072,2024-11-15 00:00:00,143,24,24,0,10001
73,1,7,PO-00000073,2024-11-15 00:00:00,199,24,24,0,10001
74,1,7,PO-00000074,2024-11-15 00:00:00,67,24,24,0,10001
75,1,8,PO-00000075,2024-11-15 00:00:00,140,24,24,0,10001
76,1,1,PO-00000076,2024-11-15 00:00:00,13,48,48,0,10001
77,1,10,PO-00000077,2024-11-15 00:00:00,118,24,24,0,10001
78,1,11,PO-00000078,2025-01-22 00:00:00,107,48,43,0,10001
79,1,4,PO-00000079,2025-01-22 00:00:00,184,12,12,0,10001
80,1,7,PO-00000080,2025-01-22 00:00:00,55,24,24,0,10001
81,1,4,PO-00000081,2025-01-22 00:00:00,16,12,12,0,10001
82,1,8,PO-00000082,2025-01-22 00:00:00,20,24,24,0,10001
83,1,5,PO-00000083,2025-01-22 00:00:00,89,12,12,0,10001
84,1,9,PO-00000084,2025-01-22 00:00:00,105,12,12,0,10001
85,1,2,PO-00000085,2025-01-22 00:00:00,50,24,24,1,10001
86,1,8,PO-00000086,2025-01-22 00:00:00,56,12,12,0,10001
87,1,7,PO-00000087,2025-01-22 00:00:00,139,12,12,0,10001
88,1,9,PO-00000088,2025-01-22 00:00:00,153,48,48,0,10001
89,1,12,PO-00000089,2025-01-22 00:00:00,24,48,48,1,10001
90,1,12,PO-00000090,2025-01-22 00:00:00,72,12,12,0,10001
91,1,2,PO-00000091,2025-01-22 00:00:00,170,12,12,0,10001
92,1,4,PO-00000092,2025-01-22 00:00:00,172,48,48,0,10001
93,1,3,PO-00000093,2025-01-22 00:00:00,159,12,12,0,10001
94,1,6,PO-00000094,2025-01-22 00:00:00,66,24,24,0,10001
95,1,12,PO-00000095,2025-01-22 00:00:00,168,24,24,0,10001
96,1,5,PO-00000096,2025-01-22 00:00:00,125,24,24,0,10001
97,1,5,PO-00000097,2025-01-22 00:00:00,101,12,12,0,10001
98,1,5,PO-00000098,2025-01-22 00:00:00,77,48,48,0,10001
99,1,9,PO-00000099,2025-01-22 00:00:00,45,48,44,0,10001
100,1,9,PO-00000100,2025-01-22 00:00:00,9,12,12,0,10001
101,1,4,PO-00000101,2025-01-22 00:00:00,88,48,48,0,10001
102,1,3,PO-00000102,2025-01-22 00:00:00,15,24,24,0,10001
103,1,1,PO-00000103,2025-01-22 00:00:00,25,24,24,0,10001
104,1,3,PO-00000104,2025-01-22 00:00:00,135,48,48,0,10001
105,1,8,PO-00000105,2025-01-22 00:00:00,80,24,24,0,10001
106,1,6,PO-00000106,2025-01-22 00:00:00,162,24,24,0,10001
107,1,10,PO-00000107,2025-01-22 00:00:00,70,48,48,0,10001
108,1,5,PO-00000108,2024-12-03 00:00:00,149,12,12,0,10001
109,1,10,PO-00000109,2024-12-03 00:00:00,118,12,12,0,10001
110,1,8,PO-00000110,2024-12-03 00:00:00,128,12,12,0,10001
111,1,1,PO-00000111,2024-12-03 00:00:00,157,24,24,0,10001
112,1,1,PO-00000112,2024-12-03 00:00:00,73,12,12,0,10001
113,1,6,PO-00000113,2024-12-03 00:00:00,138,12,11,0,10001
114,1,3,PO-00000114,2024-12-03 00:00:00,183,12,12,1,10001
115,1,5,PO-00000115,2024-12-03 00:00:00,65,12,12,2,10001
116,1,9,PO-00000116,2024-12-03 00:00:00,105,24,24,0,10001
117,1,10,PO-00000117,2024-12-03 00:00:00,10,12,12,0,10001
118,1,12,PO-00000118,2024-12-03 00:00:00,36,24,24,0,10001
119,1,8,PO-00000119,2024-12-03 00:00:00,68,24,24,0,10001
120,1,3,PO-00000120,2024-12-03 00:00:00,39,24,24,0,10001
121,1,11,PO-00000121,2024-12-03 00:00:00,167,48,48,1,10001
122,1,11,PO-00000122,2024-12-03 00:00:00,23,24,24,0,10001
123,1,4,PO-00000123,2024-12-03 00:00:00,184,12,11,0,10001
124,1,5,PO-00000124,2024-12-03 00:00:00,173,24,24,0,10001
125,1,7,PO-00000125,2024-12-03 00:00:00,7,12,12,0,10001
126,1,8,PO-00000126,2024-12-03 00:00:00,32,48,48,1,10001
127,1,9,PO-00000127,2024-12-03 00:00:00,177,12,12,0,10001
128,1,4,PO-00000128,2024-12-03 00:00:00,28,24,24,0,10001
129,1,10,PO-00000129,2024-12-03 00:00:00,178,12,9,0,10001
130,1,2,PO-00000130,2024-12-03 00:00:00,62,12,12,0,10001
131,1,2,PO-00000131,2025-04-14 00:00:00,74,24,24,0,10001
132,1,11,PO-00000132,2025-04-14 00:00:00,83,24,24,0,10001
133,1,5,PO-00000133,2025-04-14 00:00:00,101,24,24,0,10001
134,1,4,PO-00000134,2025-04-14 00:00:00,100,12,12,0,10001
135,1,12,PO-00000135,2025-04-14 00:00:00,84,24,24,0,10001
136,1,10,PO-00000136,2025-04-14 00:00:00,142,48,48,0,10001
137,1,7,PO-00000137,2025-04-14 00:00:00,187,24,24,0,10001
138,1,10,PO-00000138,2025-04-14 00:00:00,22,12,12,0,10001
139,1,5,PO-00000139,2025-04-14 00:00:00,65,12,12,0,10001
140,1,8,PO-00000140,2025-04-14 00:00:00,80,24,24,0,10001
141,1,7,PO-00000141,2025-04-14 00:00:00,175,24,24,0,10001
142,1,1,PO-00000142,2025-04-14 00:00:00,97,24,24,0,10001
143,1,8,PO-00000143,2025-04-14 00:00:00,20,12,12,0,10001
144,1,1,PO-00000144,2025-04-14 00:00:00,109,12,12,0,10001
145,1,1,PO-00000145,2025-04-14 00:00:00,85,12,12,0,10001
146,1,5,PO-00000146,2024-12-13 00:00:00,161,24,24,0,10001
147,1,3,PO-00000147,2024-12-13 00:00:00,87,24,24,0,10001
148,1,2,PO-00000148,2024-12-13 00:00:00,14,12,12,0,10001
149,1,7,PO-00000149,2024-12-13 00:00:00,67,48,48,0,10001
150,1,6,PO-00000150,2024-12-13 00:00:00,150,48,48,0,10001
151,1,12,PO-00000151,2024-12-13 00:00:00,96,12,12,0,10001
152,1,8,PO-00000152,2024-12-13 00:00:00,140,24,24,0,10001
153,1,10,PO-00000153,2024-12-13 00:00:00,130,12,12,0,10001
154,1,7,PO-00000154,2024-12-13 00:00:00,127,24,19,0,10001
155,1,7,PO-00000155,2024-12-13 00:00:00,79,12,11,0,10001
156,1,11,PO-00000156,2024-12-13 00:00:00,23,24,24,0,10001
157,1,11,PO-00000157,2024-12-13 00:00:00,107,12,12,0,10001
158,1,12,PO-00000158,2024-12-13 00:00:00,60,12,12,0,10001
159,1,4,PO-00000159,2024-12-13 00:00:00,112,24,24,0,10001
160,1,12,PO-00000160,2024-12-13 00:00:00,168,48,48,0,10001
161,1,1,PO-00000161,2024-12-13 00:00:00,85,24,24,0,10001
162,1,7,PO-00000162,2024-12-13 00:00:00,55,24,24,0,10001
163,1,9,PO-00000163,2024-12-13 00:00:00,189,48,48,0,10001
164,1,2,PO-00000164,2024-12-13 00:00:00,2,12,12,0,10001
165,1,4,PO-00000165,2024-12-13 00:00:00,124,48,48,0,10001
166,1,6,PO-00000166,2024-12-13 00:00:00,78,24,24,0,10001
167,1,5,PO-00000167,2024-12-13 00:00:00,197,12,12,0,10001
168,1,3,PO-00000168,2024-12-13 00:00:00,159,24,24,0,10001
169,1,7,PO-00000169,2025-02-04 00:00:00,67,24,21,0,10001
170,1,5,PO-00000170,2025-02-04 00:00:00,113,12,12,0,10001
171,1,10,PO-00000171,2025-02-04 00:00:00,58,48,48,2,10001
172,1,6,PO-00000172,2025-02-04 00:00:00,90,24,24,0,10001
173,1,8,PO-00000173,2025-02-04 00:00:00,140,12,12,0,10001
174,1,4,PO-00000174,2025-02-04 00:00:00,4,12,12,0,10001
175,1,9,PO-00000175,2025-02-04 00:00:00,93,12,12,0,10001
176,1,3,PO-00000176,2025-02-04 00:00:00,147,24,24,0,10001
177,1,8,PO-00000177,2025-02-04 00:00:00,56,12,12,0,10001
178,1,6,PO-00000178,2025-02-04 00:00:00,42,24,24,0,10001
179,1,12,PO-00000179,2025-02-04 00:00:00,120,24,24,0,10001
180,1,11,PO-00000180,2025-02-04 00:00:00,131,12,12,0,10001
181,1,4,PO-00000181,2025-02-04 00:00:00,184,48,48,0,10001
182,1,12,PO-00000182,2025-02-04 00:00:00,72,24,24,0,10001
183,1,5,PO-00000183,2025-02-04 00:00:00,101,24,24,0,10001
184,1,1,PO-00000184,2025-02-04 00:00:00,1,24,24,0,10001
185,1,6,PO-00000185,2025-02-04 00:00:00,162,48,48,0,10001
186,1,4,PO-00000186,2025-02-04 00:00:00,100,24,24,0,10001
187,1,2,PO-00000187,2025-02-04 00:00:00,86,24,24,0,10001
188,1,8,PO-00000188,2025-02-04 00:00:00,20,24,24,0,10001
189,1,12,PO-00000189,2025-02-04 00:00:00,48,24,24,2,10001
190,1,8,PO-00000190,2025-02-04 00:00:00,92,48,48,0,10001
191,1,5,PO-00000191,2025-02-04 00:00:00,125,24,24,0,10001
192,1,9,PO-00000192,2025-02-04 00:00:00,153,12,12,0,10001
193,1,1,PO-00000193,2025-02-04 00:00:00,121,12,12,0,10001
194,1,3,PO-00000194,2025-02-04 00:00:00,27,12,12,0,10001
195,1,4,PO-00000195,2025-02-04 00:00:00,196,12,12,0,10001
196,1,3,PO-00000196,2025-02-04 00:00:00,99,48,48,0,10001
197,1,10,PO-00000197,2025-02-04 00:00:00,10,12,12,2,10001
198,1,8,PO-00000198,2025-02-04 00:00:00,116,12,12,0,10001
199,1,9,PO-00000199,2025-02-04 00:00:00,69,48,43,0,10001
200,1,1,PO-00000200,2025-02-04 00:00:00,13,12,12,0,10001
201,1,3,PO-00000201,2025-02-04 00:00:00,159,48,48,0,10001
202,1,5,PO-00000202,2025-02-04 00:00:00,65,24,24,0,10001
203,1,9,PO-00000203,2024-11-16 00:00:00,117,24,24,0,10001
204,1,1,PO-00000204,2024-11-16 00:00:00,157,12,12,0,10001
205,1,4,PO-00000205,2024-11-16 00:00:00,40,24,24,0,10001
206,1,2,PO-00000206,2024-11-16 00:00:00,38,12,12,0,10001
207,1,10,PO-00000207,2024-11-16 00:00:00,118,24,24,0,10001
208,1,5,PO-00000208,2024-11-16 00:00:00,65,12,12,0,10001
209,1,5,PO-00000209,2024-11-16 00:00:00,29,24,24,0,10001
210,1,6,PO-00000210,2024-11-16 00:00:00,198,12,12,0,10001
211,1,3,PO-00000211,2024-11-16 00:00:00,111,12,12,0,10001
212,1,7,PO-00000212,2024-11-16 00:00:00,19,24,24,0,10001
213,1,6,PO-00000213,2024-11-16 00:00:00,66,12,6,0,10001
214,1,6,PO-00000214,2024-11-16 00:00:00,6,48,48,0,10001
215,1,10,PO-00000215,2024-11-16 00:00:00,46,12,12,0,10001
216,1,1,PO-00000216,2024-11-16 00:00:00,133,24,24,0,10001
217,1,5,PO-00000217,2024-11-16 00:00:00,185,12,12,0,10001
218,1,4,PO-00000218,2024-11-16 00:00:00,4,12,12,0,10001
219,1,3,PO-00000219,2024-11-16 00:00:00,51,24,24,0,10001
220,1,3,PO-00000220,2025-04-16 00:00:00,15,12,12,0,10001
221,1,1,PO-00000221,2025-04-16 00:00:00,49,12,12,0,10001
222,1,3,PO-00000222,2025-04-16 00:00:00,51,48,48,0,10001
223,1,1,PO-00000223,2025-04-16 00:00:00,1,12,12,0,10001
224,1,8,PO-00000224,2025-04-16 00:00:00,44,24,24,0,10001
225,1,9,PO-00000225,2025-04-16 00:00:00,129,12,12,0,10001
226,1,1,PO-00000226,2025-04-16 00:00:00,61,48,48,0,10001
227,1,2,PO-00000227,2025-04-16 00:00:00,110,12,12,0,10001
228,1,9,PO-00000228,2025-04-16 00:00:00,105,12,12,0,10001
229,1,7,PO-00000229,2025-04-16 00:00:00,91,12,12,1,10001
230,1,7,PO-00000230,2025-04-16 00:00:00,127,24,24,0,10001
231,1,2,PO-00000231,2025-04-16 00:00:00,170,24,24,0,10001
232,1,11,PO-00000232,2025-04-16 00:00:00,59,24,24,0,10001
233,1,11,PO-00000233,2025-04-16 00:00:00,95,24,24,0,10001
234,1,6,PO-00000234,2025-04-16 00:00:00,186,48,48,0,10001
235,1,4,PO-00000235,2024-12-21 00:00:00,40,12,7,0,10001
236,1,2,PO-00000236,2024-12-21 00:00:00,170,12,12,0,10001
237,1,7,PO-00000237,2024-12-21 00:00:00,55,12,12,2,10001
238,1,1,PO-00000238,2024-12-21 00:00:00,49,12,12,0,10001
239,1,3,PO-00000239,2024-12-21 00:00:00,3,12,12,0,10001
240,1,4,PO-00000240,2024-12-21 00:00:00,160,24,24,0,10001
241,1,6,PO-00000241,2024-12-21 00:00:00,78,24,24,0,10001
242,1,12,PO-00000242,2024-12-21 00:00:00,60,12,12,0,10001
243,1,3,PO-00000243,2024-12-21 00:00:00,27,48,48,0,10001
244,1,1,PO-00000244,2024-12-21 00:00:00,121,24,21,0,10001
245,1,12,PO-00000245,2024-12-21 00:00:00,132,24,24,0,10001
246,1,6,PO-00000246,2024-12-21 00:00:00,198,12,12,0,10001
247,1,9,PO-00000247,2024-12-21 00:00:00,141,12,12,0,10001
248,1,8,PO-00000248,2024-12-21 00:00:00,140,12,12,0,10001
249,1,5,PO-00000249,2024-12-21 00:00:00,173,12,12,0,10001
250,1,11,PO-00000250,2024-12-21 00:00:00,155,12,12,0,10001
251,1,10,PO-00000251,2024-12-21 00:00:00,166,12,12,0,10001
252,1,2,PO-00000252,2024-12-21 00:00:00,122,24,24,0,10001
253,1,10,PO-00000253,2024-12-21 00:00:00,10,48,48,0,10001
254,1,2,PO-00000254,2024-12-31 00:00:00,62,24,24,0,10001
255,1,9,PO-00000255,2024-12-31 00:00:00,177,12,12,0,10001
256,1,10,PO-00000256,2024-12-31 00:00:00,178,24,24,2,10001
257,1,2,PO-00000257,2024-12-31 00:00:00,98,12,12,0,10001
258,1,1,PO-00000258,2024-12-31 00:00:00,85,24,24,0,10001
259,1,8,PO-00000259,2024-12-31 00:00:00,32,24,24,0,10001
260,1,8,PO-00000260,2024-12-31 00:00:00,140,12,12,0,10001
261,1,6,PO-00000261,2024-12-31 00:00:00,42,12,12,0,10001
262,1,11,PO-00000262,2024-12-31 00:00:00,71,12,12,0,10001
263,1,1,PO-00000263,2024-12-31 00:00:00,181,12,12,0,10001
264,1,3,PO-00000264,2024-12-31 00:00:00,15,24,24,0,10001
265,1,2,PO-00000265,2024-12-31 00:00:00,182,48,48,0,10001
266,1,7,PO-00000266,2024-12-31 00:00:00,175,12,12,0,10001
267,1,4,PO-00000267,2024-12-31 00:00:00,148,48,48,0,10001
268,1,1,PO-00000268,2024-12-31 00:00:00,169,12,12,0,10001
269,1,12,PO-00000269,2024-12-31 00:00:00,60,12,12,0,10001
270,1,11,PO-00000270,2024-12-31 00:00:00,155,24,24,0,10001
271,1,6,PO-00000271,2024-12-31 00:00:00,6,24,24,2,10001
272,1,8,PO-00000272,2024-12-31 00:00:00,128,24,24,0,10001
273,1,8,PO-00000273,2024-12-31 00:00:00,80,12,7,0,10001
274,1,9,PO-00000274,2024-12-31 00:00:00,105,12,12,0,10001
275,1,10,PO-00000275,2024-12-31 00:00:00,58,24,22,0,10001
276,1,9,PO-00000276,2024-12-31 00:00:00,57,12,12,0,10001
277,1,8,PO-00000277,2024-12-31 00:00:00,56,48,48,1,10001
278,1,10,PO-00000278,2024-12-31 00:00:00,130,24,24,0,10001
279,1,7,PO-00000279,2024-12-31 00:00:00,31,48,48,0,10001
280,1,11,PO-00000280,2024-12-31 00:00:00,11,24,24,0,10001
281,1,2,PO-00000281,2024-12-31 00:00:00,38,24,24,0,10001
282,1,9,PO-00000282,2024-12-31 00:00:00,9,12,12,0,10001
283,1,8,PO-00000283,2024-12-31 00:00:00,116,24,24,0,10001
284,1,8,PO-00000284,2024-12-31 00:00:00,152,24,24,0,10001
285,1,3,PO-00000285,2024-12-31 00:00:00,87,24,24,0,10001
286,1,6,PO-00000286,2025-02-16 00:00:00,126,24,24,0,10001
287,1,2,PO-00000287,2025-02-16 00:00:00,62,48,48,0,10001
288,1,9,PO-00000288,2025-02-16 00:00:00,93,24,24,0,10001
289,1,1,PO-00000289,2025-02-16 00:00:00,181,48,47,0,10001
290,1,1,PO-00000290,2025-02-16 00:00:00,85,12,12,0,10001
291,1,1,PO-00000291,2025-02-16 00:00:00,193,12,12,0,10001
292,1,12,PO-00000292,2025-02-16 00:00:00,96,12,12,0,10001
293,1,8,PO-00000293,2025-02-16 00:00:00,152,48,48,0,10001
294,1,4,PO-00000294,2025-02-16 00:00:00,16,48,48,0,10001
295,1,5,PO-00000295,2025-02-16 00:00:00,65,24,24,0,10001
296,1,7,PO-00000296,2025-02-16 00:00:00,175,12,12,0,10001
297,1,2,PO-00000297,2025-02-16 00:00:00,158,12,12,0,10001
298,1,3,PO-00000298,2025-02-16 00:00:00,15,24,24,0,10001
299,1,12,PO-00000299,2025-02-16 00:00:00,72,48,48,0,10001
300,1,6,PO-00000300,2025-02-16 00:00:00,186,12,12,0,10001
301,1,6,PO-00000301,2025-02-16 00:00:00,162,48,48,0,10001
302,1,8,PO-00000302,2025-02-16 00:00:00,128,48,48,0,10001
303,1,2,PO-00000303,2025-02-16 00:00:00,146,24,24,0,10001
304,1,3,PO-00000304,2025-02-16 00:00:00,75,12,12,0,10001
305,1,3,PO-00000305,2025-02-16 00:00:00,39,12,12,0,10001
306,1,11,PO-00000306,2025-02-16 00:00:00,143,12,12,0,10001
307,1,5,PO-00000307,2025-02-16 00:00:00,173,24,24,0,10001
308,1,7,PO-00000308,2025-02-16 00:00:00,199,48,48,0,10001
309,1,10,PO-00000309,2025-02-17 00:00:00,118,12,12,0,10001
310,1,12,PO-00000310,2025-02-17 00:00:00,72,12,12,0,10001
311,1,9,PO-00000311,2025-02-17 00:00:00,9,48,48,0,10001
312,1,7,PO-00000312,2025-02-17 00:00:00,19,24,24,0,10001
313,1,1,PO-00000313,2025-02-17 00:00:00,73,12,12,0,10001
314,1,5,PO-00000314,2025-02-17 00:00:00,77,24,24,0,10001
315,1,2,PO-00000315,2025-02-17 00:00:00,38,24,24,0,10001
316,1,1,PO-00000316,2025-02-17 00:00:00,1,12,12,0,10001
317,1,2,PO-00000317,2025-02-17 00:00:00,158,12,12,0,10001
318,1,7,PO-00000318,2025-02-17 00:00:00,175,24,24,0,10001
319,1,6,PO-00000319,2025-02-17 00:00:00,198,12,12,0,10001
320,1,10,PO-00000320,2025-02-17 00:00:00,130,24,24,0,10001
321,1,2,PO-00000321,2025-02-17 00:00:00,86,24,24,0,10001
322,1,1,PO-00000322,2025-02-17 00:00:00,25,24,24,0,10001
323,1,8,PO-00000323,2025-02-17 00:00:00,152,24,24,0,10001
324,1,12,PO-00000324,2025-02-17 00:00:00,12,12,12,0,10001
325,1,3,PO-00000325,2025-02-17 00:00:00,27,24,24,0,10001
326,1,6,PO-00000326,2025-02-17 00:00:00,150,12,12,0,10001
327,1,7,PO-00000327,2025-02-17 00:00:00,103,12,12,0,10001
328,1,7,PO-00000328,2025-02-17 00:00:00,43,48,48,0,10001
329,1,4,PO-00000329,2025-02-17 00:00:00,40,12,12,0,10001
330,1,4,PO-00000330,2025-02-17 00:00:00,16,24,24,0,10001
331,1,3,PO-00000331,2025-02-17 00:00:00,63,12,12,0,10001
332,1,5,PO-00000332,2025-02-17 00:00:00,5,48,48,0,10001
333,1,12,PO-00000333,2025-02-17 00:00:00,84,12,12,0,10001
334,1,1,PO-00000334,2025-02-17 00:00:00,193,48,48,0,10001
335,1,5,PO-00000335,2025-03-17 00:00:00,65,12,12,0,10001
336,1,7,PO-00000336,2025-03-17 00:00:00,7,24,24,0,10001
337,1,6,PO-00000337,2025-03-17 00:00:00,102,24,24,0,10001
338,1,6,PO-00000338,2025-03-17 00:00:00,162,24,24,0,10001
339,1,7,PO-00000339,2025-03-17 00:00:00,31,24,20,0,10001
340,1,4,PO-00000340,2025-03-17 00:00:00,100,48,48,0,10001
341,1,12,PO-00000341,2025-03-17 00:00:00,96,12,12,0,10001
342,1,11,PO-00000342,2025-03-17 00:00:00,167,24,24,0,10001
343,1,7,PO-00000343,2025-03-17 00:00:00,19,12,12,0,10001
344,1,8,PO-00000344,2025-03-17 00:00:00,152,24,24,0,10001
345,1,1,PO-00000345,2025-03-17 00:00:00,169,12,12,0,10001
346,1,9,PO-00000346,2025-03-17 00:00:00,129,12,12,0,10001
347,1,4,PO-00000347,2025-03-17 00:00:00,112,24,24,0,10001
348,1,9,PO-00000348,2025-03-17 00:00:00,21,24,24,0,10001
349,1,7,PO-00000349,2025-03-17 00:00:00,103,12,12,0,10001
350,1,11,PO-00000350,2025-03-17 00:00:00,35,24,24,0,10001
351,1,3,PO-00000351,2025-03-17 00:00:00,3,24,24,0,10001
352,1,1,PO-00000352,2025-03-17 00:00:00,157,12,12,0,10001
353,1,8,PO-00000353,2025-03-17 00:00:00,188,24,24,0,10001
354,1,1,PO-00000354,2025-03-17 00:00:00,61,48,48,0,10001
355,1,1,PO-00000355,2025-03-17 00:00:00,121,12,12,0,10001
356,1,5,PO-00000356,2025-03-17 00:00:00,5,48,48,0,10001
357,1,3,PO-00000357,2025-03-17 00:00:00,63,24,24,0,10001
358,1,8,PO-00000358,2025-03-17 00:00:00,116,24,24,0,10001
359,1,4,PO-00000359,2025-03-17 00:00:00,148,48,48,0,10001
360,1,3,PO-00000360,2025-03-17 00:00:00,51,48,48,0,10001
361,1,11,PO-00000361,2025-03-17 00:00:00,143,24,24,0,10001
362,1,12,PO-00000362,2025-03-17 00:00:00,144,48,48,0,10001
363,1,9,PO-00000363,2025-03-17 00:00:00,117,24,24,0,10001
364,1,11,PO-00000364,2025-03-17 00:00:00,95,12,7,0,10001
365,1,10,PO-00000365,2025-03-17 00:00:00,34,24,24,0,10001
366,1,11,PO-00000366,2025-03-02 00:00:00,23,12,12,0,10001
367,1,1,PO-00000367,2025-03-02 00:00:00,73,12,12,0,10001
368,1,1,PO-00000368,2025-03-02 00:00:00,61,24,24,0,10001
369,1,7,PO-00000369,2025-03-02 00:00:00,103,24,24,0,10001
370,1,3,PO-00000370,2025-03-02 00:00:00,99,12,12,0,10001
371,1,1,PO-00000371,2025-03-02 00:00:00,181,24,24,0,10001
372,1,10,PO-00000372,2025-03-02 00:00:00,10,24,24,0,10001
373,1,5,PO-00000373,2025-03-02 00:00:00,137,12,12,1,10001
374,1,7,PO-00000374,2025-03-02 00:00:00,139,24,24,0,10001
